Nome,Data de Nascimento,Sexo,Raça,Estado Civil,Você trabalha? (Estágio ou Efetivo),Renda Própria,Quantidade de Filhos,Renda do Responsável Financeiro,Escolaridade do Responsável,Bairro,Distancia,Tipo de Ingresso,%_BOLSA,Curso,Semestre,FALTA,Status
Cauê Peixoto,1995-03-14,Masculino,Outras,Solteiro,Sim,2497,0,2408,Ensino Médio,Planaltina,1,ENEM,29,Engenharia de Software,5,36,0
Clarice Araújo,2000-07-12,Feminino,Outras,Solteiro,Sim,2549,0,3404,Ensino Superior,Noroeste,1,PROUNI,100,Engenharia de Software,3,7,0
Maria Luísa Almeida,2004-11-22,Feminino,Branco,Solteiro,Sim,2330,0,3482,Ensino Superior,Vicente Pires,6,ENEM,28,Economia,3,6,0
Marcos Vinicius Freitas,1996-02-25,Masculino,Branco,Solteiro,Sim,2587,0,2383,Ensino Superior,Candangolândia,9,Transferência,2,Psicologia,3,28,1
Juan Novaes,2005-07-13,Masculino,Branco,Solteiro,Não,1620,0,3683,Ensino Superior,Sudoeste,1,IDP Pass,28,Economia,4,8,0
Vinicius Silva,2001-09-06,Feminino,Negro,Solteiro,Sim,2928,0,2523,Ensino Superior,Lago Sul,6,IDP Pass,21,Administração,5,7,0
Maria Julia Jesus,1997-12-05,Feminino,Branco,Solteiro,Não,1660,0,3122,Ensino Superior,Recanto das Emas,6,PROUNI,100,Administração,1,7,1
Maria Flor Nunes,2003-04-12,Feminino,Outras,Solteiro,Sim,2969,0,2403,Ensino Superior,Lago Sul,9,IDP Pass,0,Arquitetura,3,10,1
Caroline da Cunha,2004-10-06,Feminino,Branco,Solteiro,Sim,1279,0,2852,Ensino Superior,Noroeste,5,ENEM,24,Economia,1,10,0
Ryan Lopes,1998-11-11,Feminino,Outras,Solteiro,Não,1768,0,2529,Ensino Médio,Itapoã,3,IDP Pass,10,Engenharia de Software,5,7,1
Valentina Vasconcelos,1994-12-11,Feminino,Branco,Solteiro,Não,1602,0,2937,Ensino Médio,São Sebastião,7,IDP Pass,26,Administração,1,8,0
Ian Araújo,2004-05-03,Masculino,Negro,União Estável,Sim,2677,0,3245,Ensino Médio,Noroeste,10,ENEM,45,Ciência da Computação,4,17,1
Daniel Freitas,2004-10-17,Feminino,Branco,Solteiro,Sim,2085,0,3279,Ensino Médio,Noroeste,6,IDP Pass,46,Arquitetura,4,2,0
Breno Dias,1994-10-09,Feminino,Branco,Solteiro,Não,2232,0,3715,Ensino Médio,Plano Piloto,2,IDP Pass,3,Economia,2,8,1
Bianca Moraes,1952-03-25,Masculino,Branco,União Estável,Não,2738,0,3159,Ensino Superior,Lago Sul,8,Transferência,29,Engenharia de Software,3,13,0
Joaquim Albuquerque,2000-09-02,Feminino,Branco,Solteiro,Não,1557,0,2344,Ensino Superior,Sudoeste,10,ENEM,46,Arquitetura,5,10,0
Maria Alice Cavalcante,1998-09-10,Feminino,Negro,Solteiro,Não,2598,0,3152,Ensino Superior,Itapoã,6,ENEM,16,Engenharia de Software,4,39,0
Thiago Castro,2003-11-17,Masculino,Outras,União Estável,Sim,1170,0,3310,Ensino Superior,SCIA,9,PROUNI,100,Arquitetura,3,9,1
Maria Eduarda Mendonça,1995-07-15,Feminino,Branco,Solteiro,Sim,1231,3,2710,Ensino Superior,Núcleo Bandeirante,10,ENEM,38,Engenharia de Software,2,20,0
Murilo da Rosa,2001-01-04,Masculino,Branco,Solteiro,Sim,2135,0,3377,Ensino Médio,Lago Sul,7,IDP Pass,35,Psicologia,2,9,0
Maria Clara Aparecida,2005-03-06,Feminino,Branco,Solteiro,Não,2008,0,3403,Ensino Médio,Paranoá,4,IDP Pass,48,Ciência da Computação,1,6,1
Eloá Freitas,2006-03-22,Feminino,Negro,Solteiro,Sim,2548,0,3339,Ensino Superior,SCIA,8,ENEM,28,Ciência da Computação,4,9,0
Léo da Cunha,2003-01-03,Masculino,Branco,Casado,Sim,2608,0,2494,Ensino Médio,Lago Norte,6,ENEM,14,Publicidade,2,6,1
Lunna Farias,1999-04-07,Masculino,Branco,Solteiro,Não,1069,0,2651,Ensino Médio,Riacho Fundo,5,Transferência,34,Psicologia,1,10,0
Leonardo Lima,1996-06-20,Masculino,Branco,Solteiro,Não,1072,0,2692,Ensino Médio,Paranoá,5,ENEM,7,Economia,1,40,0
Jade Barros,1997-04-20,Masculino,Branco,Solteiro,Sim,2912,0,3519,Ensino Superior,Lago Sul,7,IDP Pass,44,Engenharia de Software,5,10,0
Renan Nunes,2002-05-31,Masculino,Branco,Solteiro,Não,1547,0,2947,Ensino Médio,Asa Sul,10,IDP Pass,25,Publicidade,3,6,0
Raquel Nogueira,2002-03-17,Feminino,Outras,Solteiro,Não,2259,0,3937,Ensino Superior,Taguatinga,3,IDP Pass,10,Engenharia de Software,1,6,0
Ana Martins,2002-07-16,Masculino,Branco,Solteiro,Sim,1908,0,2669,Ensino Superior,Paranoá,5,IDP Pass,44,Engenharia de Software,5,6,0
Júlia Guerra,2005-10-21,Masculino,Negro,União Estável,Não,2041,0,3885,Ensino Médio,Asa Norte,8,PROUNI,100,Arquitetura,2,9,1
Lucca Pinto,2001-04-16,Masculino,Negro,Solteiro,Sim,2235,0,2736,Ensino Superior,Noroeste,3,Transferência,43,Ciência da Computação,4,9,0
Daniela Guerra,2001-01-24,Masculino,Branco,Solteiro,Sim,1298,0,2208,Ensino Médio,Sol Nascente/Pôr do Sol,3,ENEM,21,Arquitetura,5,7,1
João Gabriel Pimenta,2001-12-06,Feminino,Branco,Solteiro,Não,2975,0,2353,Ensino Médio,Plano Piloto,7,Transferência,5,Economia,4,8,0
Francisco Campos,2004-08-02,Masculino,Negro,Solteiro,Não,1407,0,3834,Ensino Superior,São Sebastião,6,ENEM,41,Arquitetura,1,10,0
André Araújo,2000-06-14,Feminino,Branco,Solteiro,Não,2821,0,2002,Ensino Médio,Noroeste,1,ENEM,1,Publicidade,1,7,0
Ester Moreira,2005-10-19,Masculino,Negro,Solteiro,Sim,2168,0,2279,Ensino Superior,Noroeste,7,PROUNI,100,Psicologia,3,6,1
Ágatha Brito,2005-01-19,Masculino,Branco,Solteiro,Sim,2467,0,2151,Ensino Médio,Asa Sul,9,Transferência,31,Psicologia,3,4,1
Paulo Alves,1997-11-02,Masculino,Branco,Solteiro,Não,2721,0,2271,Ensino Médio,Sobradinho,1,IDP Pass,2,Administração,3,9,1
Benjamim Costa,1996-09-30,Feminino,Negro,Solteiro,Sim,2936,0,2693,Ensino Superior,Fercal,6,ENEM,40,Economia,3,9,0
Henrique Vasconcelos,2003-12-12,Masculino,Outras,Solteiro,Não,2433,0,2994,Ensino Médio,Lago Oeste,9,ENEM,32,Engenharia de Software,3,9,0
Yuri Barros,2005-08-04,Feminino,Outras,Solteiro,Não,1828,0,2361,Ensino Superior,Samambaia,2,IDP Pass,10,Publicidade,1,7,0
Josué Azevedo,2001-07-03,Feminino,Branco,Solteiro,Sim,1340,0,3704,Ensino Superior,SCIA,3,IDP Pass,9,Publicidade,5,6,1
Pedro Lucas Costa,1920-09-11,Feminino,Negro,Solteiro,Não,1139,0,2091,Ensino Médio,Vicente Pires,5,ENEM,24,Arquitetura,1,10,0
Vicente Rocha,2002-12-08,Feminino,Branco,Solteiro,Não,2287,0,3726,Ensino Médio,Noroeste,9,Transferência,37,Ciência da Computação,5,18,1
Zoe Pimenta,2004-09-28,Masculino,Branco,Solteiro,Não,2004,0,3068,Ensino Médio,Sudoeste,4,PROUNI,100,Arquitetura,5,14,0
Bryan Araújo,2006-05-06,Feminino,Branco,Solteiro,Sim,1127,0,3498,Ensino Médio,SCIA,10,ENEM,44,Ciência da Computação,1,8,1
Ana Clara Moraes,1998-01-23,Masculino,Branco,Solteiro,Sim,1159,0,2434,Ensino Superior,Planaltina,10,Transferência,44,Engenharia de Software,3,13,0
Emanuella da Mata,2001-09-20,Masculino,Branco,Solteiro,Sim,2471,0,3466,Ensino Médio,SIA,10,ENEM,1,Engenharia de Software,2,6,0
Ana Carolina Alves,2003-07-31,Feminino,Outras,Solteiro,Não,1971,0,2499,Ensino Superior,Recanto das Emas,6,IDP Pass,49,Psicologia,2,7,0
José Montenegro,2001-02-04,Feminino,Branco,Solteiro,Sim,2670,0,2160,Ensino Médio,Lago Sul,9,ENEM,36,Publicidade,3,10,1
Antonella Martins,2001-10-01,Feminino,Branco,Solteiro,Sim,1239,0,2275,Ensino Superior,Asa Norte,2,ENEM,35,Ciência da Computação,4,8,0
Eduardo Gomes,2003-05-12,Feminino,Negro,Solteiro,Sim,1266,0,2587,Ensino Médio,Lago Sul,9,ENEM,18,Engenharia de Software,4,10,0
Emanuel Martins,2004-09-12,Feminino,Negro,Solteiro,Não,1735,0,3659,Ensino Superior,Vicente Pires,5,IDP Pass,27,Economia,3,36,1
Luara Sousa,1994-06-29,Feminino,Branco,União Estável,Sim,1555,0,3445,Ensino Superior,SCIA,8,IDP Pass,5,Psicologia,5,36,1
Isaac Teixeira,2005-04-19,Masculino,Negro,Solteiro,Sim,1980,0,2461,Ensino Médio,Samambaia,8,PROUNI,100,Publicidade,2,10,0
Vitor Gabriel Borges,1998-02-13,Feminino,Outras,Solteiro,Sim,2493,0,3208,Ensino Superior,Vicente Pires,8,PROUNI,100,Psicologia,3,8,0
Ian da Rosa,2001-06-27,Masculino,Branco,Solteiro,Sim,2865,0,3859,Ensino Médio,Sudoeste,1,Transferência,49,Ciência da Computação,2,8,0
Mariane Santos,2003-08-25,Feminino,Branco,Casado,Sim,1888,0,2115,Ensino Superior,Asa Sul,2,IDP Pass,48,Ciência da Computação,4,9,0
Calebe Caldeira,2003-11-21,Masculino,Branco,União Estável,Sim,2447,0,3695,Ensino Superior,Noroeste,8,ENEM,44,Psicologia,2,6,1
João Gabriel Fogaça,2000-09-02,Feminino,Branco,Solteiro,Sim,1511,0,2935,Ensino Superior,Noroeste,3,ENEM,49,Psicologia,4,9,0
Hadassa Macedo,2004-08-15,Feminino,Branco,Solteiro,Não,1557,0,2355,Ensino Médio,Lago Norte,2,IDP Pass,30,Publicidade,3,9,1
Isabelly Cavalcante,1996-11-11,Masculino,Negro,Solteiro,Não,2931,0,2466,Ensino Superior,Asa Norte,10,ENEM,8,Arquitetura,3,7,0
João Gabriel Câmara,2002-10-12,Feminino,Outras,Solteiro,Não,2775,0,3812,Ensino Superior,Lago Sul,1,ENEM,36,Publicidade,1,10,0
Isaac Leão,1998-09-16,Feminino,Branco,Solteiro,Sim,2719,0,3775,Ensino Médio,Lago Norte,8,IDP Pass,27,Publicidade,1,8,1
Maysa da Cunha,1997-04-13,Feminino,Branco,Solteiro,Sim,1775,2,2077,Ensino Superior,Vicente Pires,10,ENEM,4,Arquitetura,4,6,1
Ryan Câmara,2005-07-30,Feminino,Branco,Solteiro,Não,2339,0,3315,Ensino Superior,Plano Piloto,5,Transferência,23,Ciência da Computação,2,8,0
Emanuel Fogaça,2004-09-29,Masculino,Branco,Solteiro,Sim,1591,0,2145,Ensino Médio,Noroeste,1,PROUNI,100,Ciência da Computação,2,10,1
Josué Cunha,2004-06-28,Masculino,Branco,Solteiro,Não,1231,0,3582,Ensino Médio,Gama,2,Transferência,37,Ciência da Computação,4,6,0
Esther Casa Grande,1997-07-15,Masculino,Branco,Solteiro,Não,2348,0,3965,Ensino Médio,Fercal,5,ENEM,32,Psicologia,3,6,0
Carolina Casa Grande,2002-04-30,Masculino,Branco,Solteiro,Sim,2240,0,2278,Ensino Médio,SCIA,5,IDP Pass,15,Ciência da Computação,1,9,0
Rafael Cassiano,1951-07-08,Masculino,Branco,Solteiro,Não,1302,0,2336,Ensino Superior,Riacho Fundo,3,PROUNI,100,Economia,3,10,1
Marina Cunha,1997-03-10,Masculino,Branco,Solteiro,Não,1351,2,2919,Ensino Superior,Lago Norte,5,ENEM,20,Psicologia,4,14,0
João Pedro Ferreira,2006-03-11,Masculino,Branco,Solteiro,Não,2382,0,2490,Ensino Superior,Gama,10,PROUNI,100,Arquitetura,1,8,0
Clarice Pinto,2002-06-21,Masculino,Negro,Solteiro,Não,2914,0,2063,Ensino Médio,Gama,7,Transferência,46,Publicidade,2,10,0
Luísa Novais,1994-08-30,Feminino,Branco,União Estável,Sim,1744,0,2203,Ensino Médio,Planaltina,2,PROUNI,100,Publicidade,5,7,0
João Gabriel da Cunha,2003-12-09,Masculino,Branco,Solteiro,Sim,1005,0,2111,Ensino Superior,Gama,8,IDP Pass,36,Economia,3,8,0
Isabel Cassiano,1998-10-17,Feminino,Branco,Solteiro,Sim,2863,0,2730,Ensino Superior,Vicente Pires,1,ENEM,46,Psicologia,1,9,0
Davi Lucca Moraes,2005-07-01,Feminino,Outras,União Estável,Sim,2005,1,2715,Ensino Médio,Riacho Fundo,6,PROUNI,100,Economia,4,8,0
Hellena Moura,2000-11-07,Feminino,Branco,Solteiro,Sim,2068,0,3646,Ensino Superior,Águas Claras,1,IDP Pass,44,Psicologia,3,3,0
Gabrielly Gomes,2006-04-12,Feminino,Negro,Solteiro,Não,2047,0,2717,Ensino Superior,Recanto das Emas,4,IDP Pass,23,Psicologia,5,7,0
Nina Gonçalves,2001-09-30,Masculino,Negro,Casado,Não,2534,0,2383,Ensino Médio,Sudoeste,9,ENEM,45,Publicidade,4,18,0
André Leão,2004-12-31,Feminino,Outras,Solteiro,Sim,2601,0,3817,Ensino Superior,SIA,7,ENEM,18,Publicidade,1,6,0
Mathias Gomes,2005-06-05,Masculino,Negro,Casado,Sim,1256,0,3595,Ensino Médio,Asa Norte,8,PROUNI,100,Administração,2,35,0
Stella Macedo,2005-06-16,Masculino,Branco,Solteiro,Sim,1682,0,2661,Ensino Superior,Lago Sul,8,ENEM,48,Arquitetura,1,6,0
Gabrielly Andrade,1999-02-27,Masculino,Branco,Solteiro,Não,1818,0,2386,Ensino Superior,SIA,9,Transferência,13,Administração,5,20,0
Kamilly Teixeira,1995-09-15,Masculino,Branco,Solteiro,Sim,2149,0,3575,Ensino Superior,Sudoeste,1,IDP Pass,45,Administração,2,8,1
Júlia Sales,2004-02-08,Feminino,Negro,Solteiro,Sim,1533,0,2331,Ensino Superior,Riacho Fundo,1,ENEM,39,Engenharia de Software,2,10,0
Heitor Vargas,1998-05-14,Feminino,Branco,Solteiro,Não,2420,0,2101,Ensino Médio,Vicente Pires,3,IDP Pass,11,Economia,4,8,0
Benício Vargas,2002-05-06,Masculino,Branco,Solteiro,Não,2874,0,3077,Ensino Superior,Gama,9,Transferência,47,Engenharia de Software,2,9,0
Isaac Campos,1924-09-15,Feminino,Branco,Casado,Sim,2106,0,2919,Ensino Superior,Lago Sul,3,IDP Pass,12,Ciência da Computação,4,4,1
Benício Rios,2001-04-28,Masculino,Branco,Solteiro,Não,1282,0,2220,Ensino Superior,Santa Maria,5,PROUNI,100,Economia,3,6,0
Bella Martins,2002-01-24,Feminino,Outras,Solteiro,Não,2806,0,2370,Ensino Superior,Samambaia,10,Transferência,36,Ciência da Computação,5,7,0
Allana Moura,1999-03-22,Masculino,Outras,Solteiro,Sim,1808,0,2044,Ensino Superior,Asa Norte,7,ENEM,25,Publicidade,3,10,0
Beatriz Abreu,1997-04-20,Feminino,Branco,Solteiro,Sim,2040,0,3075,Ensino Médio,Asa Norte,9,Transferência,13,Ciência da Computação,2,8,1
Maria Cecília Porto,1999-02-27,Feminino,Branco,Solteiro,Não,1410,0,2348,Ensino Superior,Águas Claras,9,ENEM,27,Arquitetura,1,16,0
Alexandre Borges,1926-03-18,Feminino,Negro,Solteiro,Sim,1694,0,2386,Ensino Superior,Sudoeste,6,ENEM,11,Economia,1,9,1
Antony Lima,2004-04-26,Masculino,Outras,Solteiro,Não,1513,0,2663,Ensino Médio,Sudoeste,10,Transferência,44,Economia,5,17,0
Luiz Fernando Câmara,2001-07-20,Masculino,Negro,Solteiro,Não,1591,0,3848,Ensino Médio,Vicente Pires,7,Transferência,42,Arquitetura,2,9,0
Natália Casa Grande,2003-06-08,Feminino,Branco,Solteiro,Sim,1327,0,3811,Ensino Médio,Lago Sul,2,IDP Pass,10,Ciência da Computação,3,7,0
José Pedro Novaes,1997-08-08,Feminino,Branco,Solteiro,Sim,2037,0,3447,Ensino Superior,Águas Claras,6,PROUNI,100,Administração,3,10,1
José Pimenta,2004-03-07,Masculino,Branco,Solteiro,Sim,1421,0,2057,Ensino Médio,Fercal,8,ENEM,11,Psicologia,2,8,0
Emanuella Vasconcelos,1996-06-11,Masculino,Branco,União Estável,Não,2607,0,3076,Ensino Superior,Recanto das Emas,9,ENEM,36,Ciência da Computação,5,7,0
Melina da Rosa,2001-12-27,Masculino,Outras,Solteiro,Sim,1719,0,2405,Ensino Superior,Riacho Fundo II,3,IDP Pass,33,Engenharia de Software,3,6,1
Ana Júlia Costa,2004-03-19,Masculino,Branco,Solteiro,Não,1144,0,3107,Ensino Médio,Samambaia,10,PROUNI,100,Psicologia,4,6,1
Olivia Fogaça,2004-07-14,Feminino,Branco,Solteiro,Sim,2681,0,2536,Ensino Superior,São Sebastião,4,Transferência,23,Arquitetura,4,4,0
Ana Sophia Sá,1916-07-03,Masculino,Branco,Solteiro,Sim,2635,0,2173,Ensino Superior,Taguatinga,8,IDP Pass,37,Arquitetura,1,7,0
Carlos Eduardo Correia,2002-10-13,Feminino,Negro,Solteiro,Não,2122,0,3588,Ensino Médio,Águas Claras,6,PROUNI,100,Arquitetura,5,6,1
Vicente Ribeiro,2001-09-24,Feminino,Branco,Casado,Sim,1210,0,2215,Ensino Médio,Setor de Indústrias Gráficas,7,ENEM,48,Arquitetura,2,6,0
Diego Rios,2005-02-02,Masculino,Negro,Solteiro,Não,2658,0,3210,Ensino Médio,Samambaia,7,PROUNI,100,Ciência da Computação,1,9,1
Pedro Lucas Vieira,2004-10-21,Feminino,Branco,Solteiro,Não,1526,0,3079,Ensino Médio,Guará,6,IDP Pass,15,Ciência da Computação,2,24,1
Mariah Gomes,1912-05-04,Masculino,Branco,União Estável,Sim,1130,0,3840,Ensino Médio,Fercal,6,Transferência,16,Administração,3,7,1
Alícia Lopes,1918-01-29,Feminino,Negro,Solteiro,Sim,1419,0,3917,Ensino Médio,Sudoeste,8,IDP Pass,47,Economia,1,6,0
Marcela Fogaça,2000-11-02,Masculino,Branco,Casado,Não,1819,0,3306,Ensino Superior,Gama,1,ENEM,8,Engenharia de Software,4,7,0
Marina Teixeira,1919-05-05,Feminino,Outras,Solteiro,Não,2308,0,2967,Ensino Médio,Varjão,7,IDP Pass,49,Ciência da Computação,5,9,0
Alexia Machado,1998-11-06,Feminino,Branco,Solteiro,Sim,2396,0,3875,Ensino Médio,Asa Norte,5,PROUNI,100,Psicologia,2,8,0
Benjamin Garcia,2000-07-18,Feminino,Branco,Solteiro,Não,1373,0,2687,Ensino Médio,Sobradinho,6,ENEM,38,Arquitetura,4,9,1
Olívia Lopes,1996-05-17,Feminino,Negro,Solteiro,Não,2060,0,3054,Ensino Superior,Águas Claras,9,PROUNI,100,Arquitetura,5,10,1
Maya Mendes,2001-02-12,Masculino,Negro,Solteiro,Não,1736,0,2719,Ensino Médio,Asa Norte,6,IDP Pass,18,Economia,4,6,0
Elisa Sousa,2003-08-29,Feminino,Branco,Solteiro,Sim,2380,0,3500,Ensino Médio,SIA,5,IDP Pass,31,Economia,1,7,0
Theo da Conceição,2004-02-13,Masculino,Branco,Solteiro,Sim,1075,0,3820,Ensino Médio,Noroeste,6,IDP Pass,27,Psicologia,3,10,0
Ana Cecília Cunha,1995-09-26,Masculino,Negro,Solteiro,Sim,2322,0,2428,Ensino Médio,Lago Norte,3,PROUNI,100,Ciência da Computação,2,6,0
Valentina Caldeira,1999-04-06,Masculino,Branco,Solteiro,Sim,2323,0,3211,Ensino Médio,Águas Claras,7,ENEM,39,Engenharia de Software,2,7,0
Luísa Sá,1931-12-20,Feminino,Branco,Solteiro,Sim,2325,0,2164,Ensino Superior,Setor de Indústrias Gráficas,1,Transferência,30,Engenharia de Software,2,7,0
Guilherme Casa Grande,1995-03-26,Feminino,Outras,Solteiro,Não,1772,0,2316,Ensino Médio,Lago Norte,8,ENEM,40,Publicidade,4,6,1
Maria Isis Correia,1996-02-10,Masculino,Branco,Solteiro,Sim,1877,0,2829,Ensino Superior,Asa Sul,2,ENEM,19,Publicidade,2,8,0
Gael Henrique da Conceição,1997-06-15,Feminino,Branco,Solteiro,Sim,2768,0,3995,Ensino Médio,Asa Norte,8,ENEM,21,Publicidade,4,9,0
Aylla da Cunha,2003-01-26,Masculino,Branco,Solteiro,Sim,1153,0,2435,Ensino Superior,SCIA,4,PROUNI,100,Publicidade,2,25,0
Ian Sales,2002-04-26,Feminino,Branco,Solteiro,Não,1144,0,2146,Ensino Médio,SCIA,1,IDP Pass,32,Economia,3,4,0
Ágatha Marques,2003-02-16,Masculino,Outras,Casado,Sim,1511,0,2558,Ensino Superior,Sobradinho,4,ENEM,14,Economia,5,6,0
Eloah Monteiro,1996-12-08,Masculino,Branco,Solteiro,Não,2842,0,2300,Ensino Superior,Sol Nascente/Pôr do Sol,3,IDP Pass,9,Economia,2,9,0
Maria Julia Cunha,1929-09-28,Masculino,Negro,Solteiro,Não,2747,0,2049,Ensino Médio,Ceilândia,5,Transferência,8,Publicidade,4,7,0
Camila Macedo,2002-10-20,Feminino,Branco,Solteiro,Não,2254,0,3562,Ensino Superior,Plano Piloto,9,IDP Pass,23,Economia,4,6,1
Larissa Pimenta,1995-01-04,Masculino,Branco,União Estável,Não,2854,0,3395,Ensino Médio,Sobradinho,9,IDP Pass,44,Psicologia,2,8,0
Kevin Gonçalves,2002-04-27,Masculino,Branco,Solteiro,Não,1075,0,3437,Ensino Médio,Plano Piloto,6,ENEM,7,Economia,5,9,0
Rhavi Montenegro,1996-05-11,Masculino,Branco,Solteiro,Sim,2086,0,3736,Ensino Médio,Núcleo Bandeirante,10,PROUNI,100,Publicidade,3,8,1
Gabriela Nunes,2002-01-16,Masculino,Branco,Solteiro,Não,2103,0,3684,Ensino Superior,Águas Claras,2,ENEM,16,Administração,1,6,0
Luiz Gustavo Sousa,1996-02-16,Masculino,Negro,Solteiro,Não,2416,0,3436,Ensino Superior,Lago Oeste,5,ENEM,41,Psicologia,1,9,1
Maria Liz Farias,1995-07-30,Masculino,Branco,Solteiro,Não,2858,0,2162,Ensino Médio,Riacho Fundo,5,ENEM,37,Economia,3,9,1
Valentim Pires,1997-06-25,Masculino,Branco,Solteiro,Não,2128,0,2742,Ensino Superior,Asa Sul,5,ENEM,12,Publicidade,2,9,0
Enzo Fogaça,2004-11-19,Masculino,Branco,Solteiro,Sim,1483,0,3097,Ensino Médio,Setor de Indústrias Gráficas,3,IDP Pass,48,Psicologia,4,6,1
Yan das Neves,2004-10-04,Masculino,Outras,Solteiro,Sim,2306,0,2275,Ensino Superior,Asa Norte,8,IDP Pass,5,Administração,2,7,0
Benjamin Viana,2002-09-28,Feminino,Branco,União Estável,Não,2533,0,3827,Ensino Superior,Lago Sul,5,Transferência,11,Publicidade,5,24,0
Vinicius Costela,1994-10-20,Masculino,Branco,Solteiro,Não,2365,0,3908,Ensino Médio,Vicente Pires,4,ENEM,45,Publicidade,2,10,0
Juan Vasconcelos,1961-07-13,Masculino,Negro,União Estável,Não,1810,0,3854,Ensino Médio,SIA,1,Transferência,6,Ciência da Computação,4,10,0
Juan Dias,2000-07-04,Masculino,Negro,Casado,Sim,2399,0,3215,Ensino Superior,Candangolândia,1,PROUNI,100,Economia,2,26,0
Lorenzo Melo,2000-11-15,Feminino,Outras,Solteiro,Não,1338,0,3674,Ensino Superior,Sudoeste,9,Transferência,37,Arquitetura,5,8,1
Vicente Marques,1996-11-05,Masculino,Branco,Solteiro,Sim,2800,0,2781,Ensino Superior,SCIA,6,IDP Pass,33,Publicidade,4,9,1
Maria Laura Aragão,1998-01-15,Masculino,Negro,Solteiro,Sim,1526,0,3450,Ensino Superior,Candangolândia,8,ENEM,17,Ciência da Computação,2,3,0
Noah Nascimento,2003-02-03,Feminino,Branco,Solteiro,Sim,1238,0,2762,Ensino Médio,Paranoá,2,ENEM,47,Administração,1,6,1
Thomas Vargas,2006-04-20,Masculino,Branco,Solteiro,Sim,2307,0,2444,Ensino Superior,Sudoeste,6,PROUNI,100,Administração,3,6,0
Marcelo Pimenta,2004-05-06,Masculino,Branco,Solteiro,Sim,1792,0,2236,Ensino Médio,Plano Piloto,2,ENEM,37,Administração,5,6,0
